t,y1,y2
57.8004,202.6482,203.8865
57.9004,202.6482,203.8294
58.0004,200.2068,203.7835
58.1004,200.2068,203.701
58.2004,200.2068,203.6185
58.3004,200.2068,203.5047
58.4004,201.4275,203.4471
58.5004,202.6482,203.4378
58.6004,202.6482,203.3865
58.7004,205.0896,203.4764
58.8004,202.6482,203.5418
58.9004,206.3104,203.6312
59.0004,201.4275,203.743
59.1004,203.8689,203.9031
59.2004,202.6482,204.0042
59.3004,206.3104,204.1194
59.4004,207.5311,204.1946
59.5004,207.5311,204.3074
59.6004,207.5311,204.4163
59.7004,208.7518,204.4319
59.8004,207.5311,204.4886
59.9004,202.6482,204.4642
60.0004,202.6482,204.4437
60.1004,201.4275,204.3685
60.2004,198.9861,204.3187
60.3004,198.9861,204.2513
60.4004,200.2068,204.1932
60.5004,203.8689,204.1331
60.6004,206.3104,204.0662
60.7004,206.3104,203.9861
60.8004,205.0896,203.8152
60.9004,202.6482,203.7835
61.0004,202.6482,203.7103
61.1004,202.6482,203.7068
61.2004,205.0896,203.743
61.3004,203.8689,203.7854
61.4004,209.9725,203.8245
61.5004,212.4139,203.806
61.6004,217.2967,203.7918
61.7004,219.7381,203.7625
61.8004,216.076,203.8611
61.9004,201.4275,203.8797
62.0004,195.324,203.9588
62.1004,190.4412,204.0667
62.2004,194.1033,204.1673
62.3004,189.2205,204.2386
62.4004,191.6619,204.264
62.5004,200.2068,204.3274
62.6004,206.3104,204.3226
62.7004,209.9725,204.3421
62.8004,211.1932,204.2923
62.9004,207.5311,204.2898
63.0004,205.0896,204.2527
63.1004,203.8689,204.1512
63.2004,206.3104,204.0315
63.3004,205.0896,203.9383
63.4004,206.3104,203.8763
63.5004,206.3104,203.9217
63.6004,205.0896,204.0081
63.7004,203.8689,204.0691
63.8004,206.3104,204.1438
63.9004,203.8689,204.1683
64.0004,205.0896,204.22
64.1004,201.4275,204.2698
64.2004,205.0896,204.3777
64.3004,205.0896,204.4549
64.4004,201.4275,204.5154
64.5004,202.6482,204.4368
64.6004,201.4275,204.3455
64.7004,205.0896,204.2933
64.8004,202.6482,204.2596
64.9004,202.6482,204.2684
65.0004,202.6482,204.2469
65.1004,196.5447,204.2303
65.2004,205.0896,204.1507
65.3004,206.3104,204.1102
65.4004,205.0896,204.0843
65.5004,206.3104,204.053
65.6004,206.3104,204.116
65.7004,205.0896,204.0779
65.8004,206.3104,204.1048
65.9004,205.0896,204.0936
66.0004,203.8689,204.0882
66.1004,200.2068,204.1146
66.2004,200.2068,204.1136
66.3004,201.4275,204.0867
66.4004,203.8689,204.0521
66.5004,205.0896,204.0184
66.6004,203.8689,203.9349
66.7004,203.8689,203.9251
66.8004,201.4275,203.8831
66.9004,198.9861,203.8465
67.0004,200.2068,203.7698
67.1004,197.7654,203.7117
67.2004,206.3104,203.6854
67.3004,206.3104,203.6688
67.4004,207.5311,203.7181
67.5004,209.9725,203.8167
67.6004,207.5311,203.8831
67.7004,207.5311,203.9622
67.8004,207.5311,204.0071
67.9004,205.0896,204.0477
68.0004,202.6482,204.1063
68.1004,205.0896,204.1692
68.2004,202.6482,204.3006
68.3004,205.0896,204.3772
68.4004,203.8689,204.3421
68.5004,206.3104,204.2635
68.6004,206.3104,204.2474
68.7004,205.0896,204.2776
68.8004,200.2068,204.2845
68.9004,196.5447,204.2615
69.0004,198.9861,204.2776
69.1004,196.5447,204.3289
69.2004,203.8689,204.2791
69.3004,202.6482,204.2215
69.4004,207.5311,204.1902
69.5004,208.7518,204.2166
69.6004,212.4139,204.1375
69.7004,211.1932,204.0311
69.8004,206.3104,203.9529
69.9004,203.8689,203.8831
70.0004,200.2068,203.4666
70.1004,197.7654,202.5203
70.2004,205.0896,201.1175
70.3004,208.7518,199.3196
70.4004,208.7518,197.1121
70.5004,205.0896,194.4646
70.6004,198.9861,191.4754
70.7004,185.5584,188.0525
70.8004,177.0135,184.2435
70.9004,170.91,180.0804
71.0004,164.8064,175.8558
71.1004,161.1443,171.741
71.2004,166.0271,167.7317
71.3004,164.8064,163.8265
71.4004,166.0271,160.0193
71.5004,163.5857,156.2327
71.6004,158.7029,152.4803
71.7004,153.8201,148.8299
71.8004,141.6131,145.3064
71.9004,137.951,141.8846
72.0004,134.2889,138.534
72.1004,130.6268,135.2718
72.2004,126.9646,132.0203
72.3004,126.9646,128.8304
72.4004,125.7439,125.7659
72.5004,122.0818,122.8274
72.6004,122.0818,120.0081
72.7004,115.9783,117.2044
72.8004,112.3162,114.367
72.9004,111.0955,111.5687
73.0004,109.8748,108.7815
73.1004,104.992,106.0203
73.2004,103.7713,103.4168
73.3004,102.5506,100.9173
73.4004,98.8885,98.4646
73.5004,94.0057,96.0442
73.6004,94.0057,93.6604
73.7004,90.3436,91.3436
73.8004,89.1229,89.1287
73.9004,87.9021,86.9617
74.0004,84.24,84.9344
74.1004,81.7986,82.9183
74.2004,80.5779,80.9695
74.3004,78.1365,79.0018
74.4004,79.3572,77.0042
74.5004,75.6951,75.1321
74.6004,72.033,73.2557
74.7004,70.8123,71.4104
74.8004,69.5916,69.6346
74.9004,68.3709,67.887
75.0004,65.9295,66.1517
75.1004,62.2674,64.4764
75.2004,61.0467,62.7972
75.3004,61.0467,61.16
75.4004,59.826,59.597
75.5004,57.3846,57.9344
75.6004,56.1639,56.3929
75.7004,57.3846,54.8953
75.8004,53.7225,53.4158
75.9004,51.2811,52.0452
76.0004,48.8396,50.702
76.1004,47.6189,49.3895
76.2004,46.3982,48.0823
76.3004,45.1775,46.7947
76.4004,46.3982,45.553
76.5004,43.9568,44.3904
76.6004,43.9568,43.2239
76.7004,40.2947,42.1185
76.8004,39.074,40.9974
76.9004,41.5154,39.7991
77.0004,39.074,38.6155
77.1004,36.6326,37.4461
77.2004,37.8533,36.3084
77.3004,34.1912,35.2054
77.4004,31.7498,34.0843
77.5004,34.1912,33.0496
77.6004,31.7498,32.0662
77.7004,31.7498,31.055
77.8004,31.7498,30.0833
77.9004,29.3084,29.2054
78.0004,29.3084,28.4417
78.1004,30.5291,27.678
78.2004,24.4256,26.9363
78.3004,26.867,26.2151
78.4004,25.6463,25.5003
78.5004,25.6463,24.7845
78.6004,24.4256,24.1097
78.7004,24.4256,23.4817
78.8004,20.7635,22.8411
78.9004,23.2049,22.1727
79.0004,20.7635,21.4231
79.1004,23.2049,20.7264
79.2004,19.5428,20.0784
79.3004,19.5428,19.4144
79.4004,18.3221,18.8045
79.5004,17.1014,18.1614
79.6004,18.3221,17.4222
79.7004,17.1014,16.7397
79.8004,14.66,16.0724
79.9004,17.1014,15.4709
80.0004,15.8807,14.9826
80.1004,14.66,14.4767
80.2004,13.4393,13.9425
80.3004,12.2186,13.446
80.4004,13.4393,12.9344
80.5004,12.2186,12.4629
80.6004,9.7771,12.0627
80.7004,12.2186,11.6187
80.8004,12.2186,11.22
80.9004,8.5564,10.828
81.0004,9.7771,10.4085
81.1004,12.2186,10.0308
81.2004,8.5564,9.6343
81.3004,8.5564,9.2012
81.4004,8.5564,8.8274
81.5004,7.3357,8.469
81.6004,7.3357,8.1555
81.7004,6.115,7.7719
81.8004,7.3357,7.3663
81.9004,6.115,7.0006
82.0004,6.115,6.6273
82.1004,6.115,6.2191
82.2004,4.8943,5.898
82.3004,7.3357,5.627
82.4004,6.115,5.2539
82.5004,2.4529,4.9079
82.6004,6.115,4.5304
82.7004,4.8943,4.2802
82.8004,3.6736,4.1527
82.9004,4.8943,3.9203
83.0004,3.6736,3.6303
83.1004,2.4529,3.3764
83.2004,3.6736,3.0963
83.3004,6.115,2.8251
83.4004,4.8943,2.6351
83.5004,0.0115,2.4584
83.6004,-1.2092,2.2844
83.7004,4.8943,2.0947
83.8004,-0.7785,1.818
83.9004,2.4529,1.628
84.0004,-1.2092,1.4843
84.1004,1.2322,1.3373
84.2004,2.4529,1.2037
84.3004,4.8943,1.1095
84.4004,0.0115,1.0241
84.5004,0.0115,0.8822
84.6004,0.0115,0.7553
84.7004,0.0115,0.6743
84.8004,1.2322,0.5621
84.9004,1.2322,0.4345
85.0004,-1.2092,0.344
